C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A033,R170,'02-00-05,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,17974969,7203198
A033,R170,'02-00-05,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,17975083,7203232
A033,R170,'02-06-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,783666,625249
A033,R170,'02-06-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,783666,625249
A033,R170,'02-06-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,783666,625257
A033,R170,'02-06-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,783667,625263
A033,R170,'02-06-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,783668,625272
A033,R170,'02-06-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,783670,625277
A033,R170,'02-06-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,71195206,21050505
A033,R170,'02-06-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,71195206,21050506
A033,R170,'02-06-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,71195216,21050518
A033,R170,'02-06-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,71195230,21050525
A033,R170,'02-06-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,71195278,21050531
A033,R170,'02-06-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,71195316,21050534
A034,R170,'03-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,2217292,17386528
A034,R170,'03-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,2217297,17386540
