the_geom,lat,long,station_name,borough,train_lines,service,unit,c-a,ct_median_income_2018_ACS,ct_shape_leng,ct_shape_area
0101000020E6100000AAEE91CD558052C0CBA0DAE0445C4440,40.720852,-74.005237,CANAL ST,Manhattan,ACE,IND,N089,R139,"$18,511",8170.756133,3677727.513
0101000020E6100000AAEE91CD558052C0CBA0DAE0445C4440,40.720852,-74.005237,CANAL ST,Manhattan,ACE,IND,N090,R139,"$18,511",8170.756133,3677727.513
0101000020E610000080B9162D408052C08DEC4ACB485B4440,40.713159,-74.003917,CHAMBERS ST,Manhattan,456JZ,BMT,A069,R044,"$27,247",8978.442334,3010944.013
0101000020E610000080B9162D408052C08DEC4ACB485B4440,40.713159,-74.003917,CHAMBERS ST,Manhattan,JZ456,BMT,A071,R044,"$27,247",8978.442334,3010944.013
0101000020E610000080B9162D408052C08DEC4ACB485B4440,40.713159,-74.003917,BROOKLYN BRIDGE,Manhattan,456JZ,IRT,R210,R044,"$27,247",8978.442334,3010944.013
0101000020E610000080B9162D408052C08DEC4ACB485B4440,40.713159,-74.003917,BROOKLYN BRIDGE,Manhattan,JZ456,IRT,R210A,R044,"$27,247",8978.442334,3010944.013
0101000020E61000007C98BD6C3B8052C01825E82FF45C4440,40.726202,-74.003627,SPRING ST,Manhattan,CE,IND,N086,R282,"$155,341",6676.606065,2226124.311
0101000020E61000007C98BD6C3B8052C01825E82FF45C4440,40.726202,-74.003627,SPRING ST,Manhattan,CE,IND,N087,R282,"$155,341",6676.606065,2226124.311
0101000020E6100000725298F7388052C0B9FC87F4DB534440,40.65515,-74.003477,36 ST,Brooklyn,DNR,BMT,C018,R197,"$83,605",6552.055506,2650333.443
0101000020E610000053CE177B2F8052C087DC0C37E05D4440,40.733405,-74.002898,CHRISTOPHER ST,Manhattan,1,IRT,R125,R189,"$20,595",5754.13432,1778588.027
0101000020E610000053CE177B2F8052C087DC0C37E05D4440,40.733405,-74.002898,CHRISTOPHER ST,Manhattan,1,IRT,R126,R189,"$20,595",5754.13432,1778588.027
0101000020E610000036CCD078228052C0E92CB308C55E4440,40.740388,-74.002104,8 AVE,Manhattan,ACEL,BMT,H001,R175,"$29,939",5681.514261,1873011.432
0101000020E610000036CCD078228052C0E92CB308C55E4440,40.740388,-74.002104,14 ST,Manhattan,ACEL,IND,N078,R175,"$29,939",5681.514261,1873011.432
0101000020E61000002DEE3F321D8052C0B9AB5791D14D4440,40.607958,-74.001782,18 AVE,Brooklyn,D,BMT,E012,R372,"$67,917",6092.042689,1765217.211
0101000020E610000016C3D501108052C0DD5D6743FE5B4440,40.718697,-74.000977,CANAL ST,Manhattan,JNQRZ6,BMT,A043,R462,"$44,583",7779.903923,2208671.929
0101000020E610000016C3D501108052C0DD5D6743FE5B4440,40.718697,-74.000977,CANAL ST,Manhattan,JNQRZ6,BMT,A044,R462,"$44,583",7779.903923,2208671.929
0101000020E610000016C3D501108052C0DD5D6743FE5B4440,40.718697,-74.000977,CANAL ST,Manhattan,JNQRZ6,BMT,A046,R463,"$44,583",7779.903923,2208671.929
0101000020E610000016C3D501108052C0DD5D6743FE5B4440,40.718697,-74.000977,CANAL ST,Manhattan,JNQRZ6,IRT,R214,R463,"$44,583",7779.903923,2208671.929
0101000020E6100000FB7953910A8052C0DE550F98874E4440,40.613513,-74.000645,79 ST,Brooklyn,D,BMT,E011,R371,"$61,250",5730.247466,1781148.593
0101000020E6100000FBAD9D28098052C04DBB9866BA5D4440,40.732251,-74.000559,W 4 ST-WASH SQ,Manhattan,ABCDEFM,IND,N080,R138,"$41,875",6601.177174,1775764.293
0101000020E6100000FBAD9D28098052C04DBB9866BA5D4440,40.732251,-74.000559,W 4 ST-WASH SQ,Manhattan,ABCDEFM,IND,N083,R138,"$41,875",6601.177174,1775764.293
0101000020E6100000F19BC24A058052C038F4160FEF5B4440,40.718233,-74.000323,CANAL ST,Manhattan,JNQRZ6,BMT,A066,R118,"$44,583",7779.903923,2208671.929
0101000020E6100000C2F7FE06ED7F52C03D7FDAA84E4F4440,40.619588,-73.998842,71 ST,Brooklyn,D,BMT,E009,R370,"$50,625",5384.768035,1699503.058
0101000020E6100000AE9FFEB3E67F52C0D65757056A4D4440,40.604798,-73.998456,20 AVE,Brooklyn,D,BMT,E013,R373,$0,6096.044707,1768012.327
0101000020E6100000A8FC6B79E57F52C00B9C6C03775E4440,40.738007,-73.998381,14 ST,Manhattan,123FLM,IRT,R127,R105,"$132,332",5683.393433,1875912.505
0101000020E6100000A8FC6B79E57F52C00B9C6C03775E4440,40.738007,-73.998381,14 ST,Manhattan,123FLM,IRT,R128,R105,"$132,332",5683.393433,1875912.505
0101000020E61000009F1EDB32E07F52C08F5033A48A544440,40.660481,-73.998059,25 ST,Brooklyn,R,BMT,C016,R278,"$67,614",7585.529133,3393635.784
0101000020E6100000A60F5D50DF7F52C098A608707A5F4440,40.745924,-73.998005,23 ST,Manhattan,CE,IND,N076,R111,"$121,183",5743.393499,1927040.052
0101000020E6100000A60F5D50DF7F52C098A608707A5F4440,40.745924,-73.998005,23 ST,Manhattan,CE,IND,N075,R111,"$121,183",5743.393499,1927040.052
0101000020E6100000A60F5D50DF7F52C098A608707A5F4440,40.745924,-73.998005,23 ST,Manhattan,CE,IND,N077,R111,"$121,183",5743.393499,1927040.052
0101000020E610000053CF8250DE7F52C00DA661F888544440,40.66043,-73.997944,25 ST,Brooklyn,R,BMT,C017,R455,"$67,614",7585.529133,3393635.784
0101000020E61000008F1B7E37DD7F52C02499D53BDC5E4440,40.741096,-73.997877,18 ST,Manhattan,1,IRT,R129,R321,"$26,378",5579.480631,1780834.118
0101000020E61000008F1B7E37DD7F52C02499D53BDC5E4440,40.741096,-73.997877,18 ST,Manhattan,1,IRT,R130,R321,"$26,378",5579.480631,1780834.118
0101000020E610000085EFFD0DDA7F52C01FB935E9B65C4440,40.724332,-73.997684,PRINCE ST-B'WAY,Manhattan,NR,BMT,A041,R086,"$24,014",5090.419937,1605585.079
0101000020E610000085EFFD0DDA7F52C01FB935E9B65C4440,40.724332,-73.997684,PRINCE ST-B'WAY,Manhattan,NR,BMT,A042,R086,"$24,014",5090.419937,1605585.079
0101000020E6100000880D164ED27F52C040DD4081775C4440,40.722397,-73.997211,SPRING ST,Manhattan,6,IRT,R215,R322,"$24,014",5090.419937,1605585.079
