the_geom,lat,long,station_name,borough,train_lines,service,unit,c-a,ct_median_income_2018_ACS,ct_shape_leng,ct_shape_area
0101000020E61000004E9CDCEF507F52C0E411DC48D95E4440,40.741006,-73.989315,23 ST-5 AVE,Manhattan,NR,BMT,A030,R083,"$22,750",5723.840786,1878253.785
0101000020E61000003BAC70CB477F52C067EDB60BCD554440,40.67032,-73.988757,9 ST,Brooklyn,DFGMNR,BMT,C012,R258,"$96,136",5142.255125,1593259.515
0101000020E61000003BAC70CB477F52C067EDB60BCD554440,40.67032,-73.988757,4 AVE,Brooklyn,DFGMNR,IND,N537,R258,"$96,136",5142.255125,1593259.515
0101000020E61000003509DE90467F52C0BB5F05F86E5F4440,40.745574,-73.988682,28 ST-BROADWAY,Manhattan,NR,BMT,A029,R082,"$35,369",5717.63351,1873518.198
0101000020E61000003509DE90467F52C0BB5F05F86E5F4440,40.745574,-73.988682,28 ST-BROADWAY,Manhattan,NR,BMT,A027,R082,"$35,369",5717.63351,1873518.198
0101000020E610000028F04E3E3D7F52C0F4FA93F8DC5F4440,40.748931,-73.988113,THIRTY THIRD ST,Manhattan,1,PTH,PTH17,R541,"$35,369",5717.63351,1873518.198
0101000020E61000001230BABC397F52C0EA2285B2F05F4440,40.749533,-73.987899,34 ST-HERALD SQ,Manhattan,BDFMNQR,BMT,A022,R022,"$35,369",5717.63351,1873518.198
0101000020E61000001230BABC397F52C0EA2285B2F05F4440,40.749533,-73.987899,34 ST-HERALD SQ,Manhattan,BDFMNQR,BMT,A025,R023,"$35,369",5717.63351,1873518.198
0101000020E61000001230BABC397F52C0EA2285B2F05F4440,40.749533,-73.987899,34 ST-HERALD SQ,Manhattan,BDFMNQR,IND,N506,R022,"$35,369",5717.63351,1873518.198
0101000020E61000001230BABC397F52C0EA2285B2F05F4440,40.749533,-73.987899,34 ST-HERALD SQ,Manhattan,BDFMNQR,IND,N505,R022,"$35,369",5717.63351,1873518.198
0101000020E61000001230BABC397F52C0EA2285B2F05F4440,40.749533,-73.987899,34 ST-HERALD SQ,Manhattan,BDFMNQR,IND,N507,R023,"$35,369",5717.63351,1873518.198
0101000020E610000013640454387F52C0DD0C37E0F35B4440,40.71838,-73.987813,ESSEX ST,Manhattan,FJMZ,BMT,A061,R142,$0,6391.922373,2399268.398
0101000020E610000013640454387F52C0DD0C37E0F35B4440,40.71838,-73.987813,DELANCEY ST,Manhattan,FJMZ,IND,N525,R142,$0,6391.922373,2399268.398
0101000020E610000013640454387F52C0DD0C37E0F35B4440,40.71838,-73.987813,DELANCEY ST,Manhattan,FJMZ,IND,N526,R142,$0,6391.922373,2399268.398
